[SYS] 2024/03/27 - 06:25:05 | One API v0.6.4-alpha.1 started 
[SYS] 2024/03/27 - 10:04:28 | batch update finished 
[SYS] 2024/03/27 - 10:04:38 | batch update started 
[SYS] 2024/03/27 - 10:04:38 | batch update finished 
[SYS] 2024/03/27 - 10:04:48 | batch update started 
[SYS] 2024/03/27 - 10:04:48 | batch update finished 
[SYS] 2024/03/27 - 10:04:58 | batch update started 
[SYS] 2024/03/27 - 10:04:58 | batch update finished 
[SYS] 2024/03/27 - 10:05:08 | batch update started 
[SYS] 2024/03/27 - 10:05:08 | batch update finished 
[SYS] 2024/03/27 - 10:05:18 | batch update started 
[SYS] 2024/03/27 - 10:05:18 | batch update finished 
[SYS] 2024/03/27 - 10:05:28 | batch update started 
[SYS] 2024/03/27 - 10:05:28 | batch update finished 
[SYS] 2024/03/27 - 10:05:38 | batch update started 
[SYS] 2024/03/27 - 10:05:38 | batch update finished 
[SYS] 2024/03/27 - 10:05:48 | batch update started 
[SYS] 2024/03/27 - 10:05:48 | batch update finished 
[SYS] 2024/03/27 - 10:05:58 | batch update started 
[SYS] 2024/03/27 - 10:05:58 | batch update finished 
[SYS] 2024/03/27 - 10:06:08 | batch update started 
[SYS] 2024/03/27 - 10:06:08 | batch update finished 
[SYS] 2024/03/27 - 10:06:18 | batch update started 
[SYS] 2024/03/27 - 10:06:19 | batch update finished 
[SYS] 2024/03/27 - 10:06:29 | batch update started 
[SYS] 2024/03/27 - 10:06:29 | batch update finished 
[SYS] 2024/03/27 - 10:06:39 | batch update started 
[SYS] 2024/03/27 - 10:06:39 | batch update finished 
[SYS] 2024/03/27 - 10:06:49 | batch update started 
[SYS] 2024/03/27 - 10:06:49 | batch update finished 
[SYS] 2024/03/27 - 10:06:59 | batch update started 
[SYS] 2024/03/27 - 10:06:59 | batch update finished 
[SYS] 2024/03/27 - 10:07:09 | batch update started 
[SYS] 2024/03/27 - 10:07:09 | batch update finished 
[SYS] 2024/03/27 - 10:07:19 | batch update started 
[SYS] 2024/03/27 - 10:07:19 | batch update finished 
[SYS] 2024/03/27 - 10:07:29 | batch update started 
[SYS] 2024/03/27 - 10:07:29 | batch update finished 
[SYS] 2024/03/27 - 10:07:39 | batch update started 
[SYS] 2024/03/27 - 10:07:39 | batch update finished 
[SYS] 2024/03/27 - 10:07:49 | batch update started 
[SYS] 2024/03/27 - 10:07:49 | batch update finished 
[SYS] 2024/03/27 - 10:07:59 | batch update started 
[SYS] 2024/03/27 - 10:07:59 | batch update finished 
[SYS] 2024/03/27 - 10:08:09 | batch update started 
[SYS] 2024/03/27 - 10:08:09 | batch update finished 
[SYS] 2024/03/27 - 10:08:19 | batch update started 
[SYS] 2024/03/27 - 10:08:19 | batch update finished 
[SYS] 2024/03/27 - 10:08:29 | batch update started 
[SYS] 2024/03/27 - 10:08:29 | batch update finished 
[SYS] 2024/03/27 - 10:08:39 | batch update started 
[SYS] 2024/03/27 - 10:08:39 | batch update finished 
[SYS] 2024/03/27 - 10:08:49 | batch update started 
[SYS] 2024/03/27 - 10:08:49 | batch update finished 
[SYS] 2024/03/27 - 10:08:59 | batch update started 
[SYS] 2024/03/27 - 10:08:59 | batch update finished 
[SYS] 2024/03/27 - 10:09:09 | batch update started 
[SYS] 2024/03/27 - 10:09:09 | batch update finished 
[SYS] 2024/03/27 - 10:09:13 | syncing options from database 
[SYS] 2024/03/27 - 10:09:13 | syncing channels from database 
[SYS] 2024/03/27 - 10:09:13 | channels synced from database 
[SYS] 2024/03/27 - 10:09:19 | batch update started 
[SYS] 2024/03/27 - 10:09:19 | batch update finished 
[SYS] 2024/03/27 - 10:09:29 | batch update started 
[SYS] 2024/03/27 - 10:09:29 | batch update finished 
[SYS] 2024/03/27 - 10:09:39 | batch update started 
[SYS] 2024/03/27 - 10:09:39 | batch update finished 
[SYS] 2024/03/27 - 10:09:49 | batch update started 
[SYS] 2024/03/27 - 10:09:49 | batch update finished 
[SYS] 2024/03/27 - 10:09:59 | batch update started 
[SYS] 2024/03/27 - 10:09:59 | batch update finished 
[SYS] 2024/03/27 - 10:10:09 | batch update started 
[SYS] 2024/03/27 - 10:10:09 | batch update finished 
[SYS] 2024/03/27 - 10:10:19 | batch update started 
[SYS] 2024/03/27 - 10:10:19 | batch update finished 
[SYS] 2024/03/27 - 10:10:29 | batch update started 
[SYS] 2024/03/27 - 10:10:29 | batch update finished 
[SYS] 2024/03/27 - 10:10:39 | batch update started 
[SYS] 2024/03/27 - 10:10:39 | batch update finished 
[SYS] 2024/03/27 - 10:10:49 | batch update started 
[SYS] 2024/03/27 - 10:10:49 | batch update finished 
[SYS] 2024/03/27 - 10:10:59 | batch update started 
[SYS] 2024/03/27 - 10:10:59 | batch update finished 
[SYS] 2024/03/27 - 10:11:09 | batch update started 
[SYS] 2024/03/27 - 10:11:09 | batch update finished 
[SYS] 2024/03/27 - 10:11:19 | batch update started 
[SYS] 2024/03/27 - 10:11:19 | batch update finished 
[SYS] 2024/03/27 - 10:11:29 | batch update started 
[SYS] 2024/03/27 - 10:11:29 | batch update finished 
[SYS] 2024/03/27 - 10:11:39 | batch update started 
[SYS] 2024/03/27 - 10:11:39 | batch update finished 
[SYS] 2024/03/27 - 10:11:49 | batch update started 
[SYS] 2024/03/27 - 10:11:49 | batch update finished 
[SYS] 2024/03/27 - 10:11:59 | batch update started 
[SYS] 2024/03/27 - 10:11:59 | batch update finished 
[SYS] 2024/03/27 - 10:12:09 | batch update started 
[SYS] 2024/03/27 - 10:12:09 | batch update finished 
[SYS] 2024/03/27 - 10:12:19 | batch update started 
[SYS] 2024/03/27 - 10:12:19 | batch update finished 
[SYS] 2024/03/27 - 10:12:29 | batch update started 
[SYS] 2024/03/27 - 10:12:29 | batch update finished 
[SYS] 2024/03/27 - 10:12:39 | batch update started 
[SYS] 2024/03/27 - 10:12:39 | batch update finished 
[SYS] 2024/03/27 - 10:12:49 | batch update started 
[SYS] 2024/03/27 - 10:12:49 | batch update finished 
[SYS] 2024/03/27 - 10:12:59 | batch update started 
[SYS] 2024/03/27 - 10:12:59 | batch update finished 
[SYS] 2024/03/27 - 10:13:09 | batch update started 
[SYS] 2024/03/27 - 10:13:09 | batch update finished 
[SYS] 2024/03/27 - 10:13:19 | batch update started 
[SYS] 2024/03/27 - 10:13:19 | batch update finished 
[SYS] 2024/03/27 - 10:13:29 | batch update started 
[SYS] 2024/03/27 - 10:13:29 | batch update finished 
[SYS] 2024/03/27 - 10:13:39 | batch update started 
[SYS] 2024/03/27 - 10:13:39 | batch update finished 
[SYS] 2024/03/27 - 10:13:49 | batch update started 
[SYS] 2024/03/27 - 10:13:49 | batch update finished 
[SYS] 2024/03/27 - 10:13:59 | batch update started 
[SYS] 2024/03/27 - 10:13:59 | batch update finished 
[SYS] 2024/03/27 - 10:14:09 | batch update started 
[SYS] 2024/03/27 - 10:14:09 | batch update finished 
[SYS] 2024/03/27 - 10:14:19 | batch update started 
[SYS] 2024/03/27 - 10:14:19 | batch update finished 
[SYS] 2024/03/27 - 10:14:29 | batch update started 
[SYS] 2024/03/27 - 10:14:29 | batch update finished 
[SYS] 2024/03/27 - 10:14:39 | batch update started 
[SYS] 2024/03/27 - 10:14:39 | batch update finished 
[SYS] 2024/03/27 - 10:14:49 | batch update started 
[SYS] 2024/03/27 - 10:14:49 | batch update finished 
[SYS] 2024/03/27 - 10:14:59 | batch update started 
[SYS] 2024/03/27 - 10:14:59 | batch update finished 
[SYS] 2024/03/27 - 10:15:09 | batch update started 
[SYS] 2024/03/27 - 10:15:09 | batch update finished 
[SYS] 2024/03/27 - 10:15:19 | batch update started 
[SYS] 2024/03/27 - 10:15:19 | batch update finished 
[SYS] 2024/03/27 - 10:15:29 | batch update started 
[SYS] 2024/03/27 - 10:15:29 | batch update finished 
[SYS] 2024/03/27 - 10:15:39 | batch update started 
[SYS] 2024/03/27 - 10:15:39 | batch update finished 
[SYS] 2024/03/27 - 10:15:49 | batch update started 
[SYS] 2024/03/27 - 10:15:49 | batch update finished 
[SYS] 2024/03/27 - 10:15:59 | batch update started 
[SYS] 2024/03/27 - 10:15:59 | batch update finished 
[SYS] 2024/03/27 - 10:16:09 | batch update started 
[SYS] 2024/03/27 - 10:16:09 | batch update finished 
[SYS] 2024/03/27 - 10:16:19 | batch update started 
[SYS] 2024/03/27 - 10:16:19 | batch update finished 
[SYS] 2024/03/27 - 10:16:29 | batch update started 
[SYS] 2024/03/27 - 10:16:29 | batch update finished 
[SYS] 2024/03/27 - 10:16:39 | batch update started 
[SYS] 2024/03/27 - 10:16:39 | batch update finished 
[SYS] 2024/03/27 - 10:16:49 | batch update started 
[SYS] 2024/03/27 - 10:16:49 | batch update finished 
[SYS] 2024/03/27 - 10:16:59 | batch update started 
[SYS] 2024/03/27 - 10:16:59 | batch update finished 
[SYS] 2024/03/27 - 10:17:09 | batch update started 
[SYS] 2024/03/27 - 10:17:09 | batch update finished 
[SYS] 2024/03/27 - 10:17:19 | batch update started 
[SYS] 2024/03/27 - 10:17:19 | batch update finished 
[SYS] 2024/03/27 - 10:17:29 | batch update started 
[SYS] 2024/03/27 - 10:17:29 | batch update finished 
[SYS] 2024/03/27 - 10:17:39 | batch update started 
[SYS] 2024/03/27 - 10:17:39 | batch update finished 
[SYS] 2024/03/27 - 10:17:49 | batch update started 
[SYS] 2024/03/27 - 10:17:49 | batch update finished 
[SYS] 2024/03/27 - 10:17:59 | batch update started 
[SYS] 2024/03/27 - 10:17:59 | batch update finished 
[SYS] 2024/03/27 - 10:18:09 | batch update started 
[SYS] 2024/03/27 - 10:18:09 | batch update finished 
[SYS] 2024/03/27 - 10:18:19 | batch update started 
[SYS] 2024/03/27 - 10:18:19 | batch update finished 
[SYS] 2024/03/27 - 10:18:29 | batch update started 
[SYS] 2024/03/27 - 10:18:29 | batch update finished 
[SYS] 2024/03/27 - 10:18:39 | batch update started 
[SYS] 2024/03/27 - 10:18:39 | batch update finished 
[SYS] 2024/03/27 - 10:18:49 | batch update started 
[SYS] 2024/03/27 - 10:18:49 | batch update finished 
[SYS] 2024/03/27 - 10:18:59 | batch update started 
[SYS] 2024/03/27 - 10:18:59 | batch update finished 
[SYS] 2024/03/27 - 10:19:09 | batch update started 
[SYS] 2024/03/27 - 10:19:09 | batch update finished 
[SYS] 2024/03/27 - 10:19:13 | syncing options from database 
[SYS] 2024/03/27 - 10:19:13 | syncing channels from database 
[SYS] 2024/03/27 - 10:19:13 | channels synced from database 
[SYS] 2024/03/27 - 10:19:19 | batch update started 
[SYS] 2024/03/27 - 10:19:19 | batch update finished 
[SYS] 2024/03/27 - 10:19:29 | batch update started 
[SYS] 2024/03/27 - 10:19:29 | batch update finished 
[SYS] 2024/03/27 - 10:19:39 | batch update started 
[SYS] 2024/03/27 - 10:19:39 | batch update finished 
[SYS] 2024/03/27 - 10:19:49 | batch update started 
[SYS] 2024/03/27 - 10:19:49 | batch update finished 
[SYS] 2024/03/27 - 10:19:59 | batch update started 
[SYS] 2024/03/27 - 10:19:59 | batch update finished 
[SYS] 2024/03/27 - 10:20:09 | batch update started 
[SYS] 2024/03/27 - 10:20:09 | batch update finished 
[SYS] 2024/03/27 - 10:20:19 | batch update started 
[SYS] 2024/03/27 - 10:20:19 | batch update finished 
[SYS] 2024/03/27 - 10:20:29 | batch update started 
[SYS] 2024/03/27 - 10:20:29 | batch update finished 
[SYS] 2024/03/27 - 10:20:39 | batch update started 
[SYS] 2024/03/27 - 10:20:39 | batch update finished 
[SYS] 2024/03/27 - 10:20:49 | batch update started 
[SYS] 2024/03/27 - 10:20:49 | batch update finished 
[SYS] 2024/03/27 - 10:20:59 | batch update started 
[SYS] 2024/03/27 - 10:20:59 | batch update finished 
[SYS] 2024/03/27 - 10:21:09 | batch update started 
[SYS] 2024/03/27 - 10:21:09 | batch update finished 
[SYS] 2024/03/27 - 10:21:19 | batch update started 
[SYS] 2024/03/27 - 10:21:19 | batch update finished 
[SYS] 2024/03/27 - 10:21:29 | batch update started 
[SYS] 2024/03/27 - 10:21:29 | batch update finished 
[SYS] 2024/03/27 - 10:21:39 | batch update started 
[SYS] 2024/03/27 - 10:21:39 | batch update finished 
[SYS] 2024/03/27 - 10:21:49 | batch update started 
[SYS] 2024/03/27 - 10:21:49 | batch update finished 
[SYS] 2024/03/27 - 10:21:59 | batch update started 
[SYS] 2024/03/27 - 10:21:59 | batch update finished 
[SYS] 2024/03/27 - 10:22:09 | batch update started 
[SYS] 2024/03/27 - 10:22:09 | batch update finished 
[SYS] 2024/03/27 - 10:22:19 | batch update started 
[SYS] 2024/03/27 - 10:22:19 | batch update finished 
[SYS] 2024/03/27 - 10:22:29 | batch update started 
[SYS] 2024/03/27 - 10:22:29 | batch update finished 
[SYS] 2024/03/27 - 10:22:39 | batch update started 
[SYS] 2024/03/27 - 10:22:39 | batch update finished 
[SYS] 2024/03/27 - 10:22:49 | batch update started 
[SYS] 2024/03/27 - 10:22:49 | batch update finished 
[SYS] 2024/03/27 - 10:22:59 | batch update started 
[SYS] 2024/03/27 - 10:22:59 | batch update finished 
[SYS] 2024/03/27 - 10:23:09 | batch update started 
[SYS] 2024/03/27 - 10:23:09 | batch update finished 
[SYS] 2024/03/27 - 10:23:19 | batch update started 
[SYS] 2024/03/27 - 10:23:19 | batch update finished 
[SYS] 2024/03/27 - 10:23:29 | batch update started 
[SYS] 2024/03/27 - 10:23:29 | batch update finished 
[SYS] 2024/03/27 - 10:23:39 | batch update started 
[SYS] 2024/03/27 - 10:23:39 | batch update finished 
[SYS] 2024/03/27 - 10:23:49 | batch update started 
[SYS] 2024/03/27 - 10:23:49 | batch update finished 
[SYS] 2024/03/27 - 10:23:59 | batch update started 
[SYS] 2024/03/27 - 10:23:59 | batch update finished 
[SYS] 2024/03/27 - 10:24:09 | batch update started 
[SYS] 2024/03/27 - 10:24:09 | batch update finished 
[SYS] 2024/03/27 - 10:24:19 | batch update started 
[SYS] 2024/03/27 - 10:24:19 | batch update finished 
[SYS] 2024/03/27 - 10:24:29 | batch update started 
[SYS] 2024/03/27 - 10:24:29 | batch update finished 
[SYS] 2024/03/27 - 10:24:39 | batch update started 
[SYS] 2024/03/27 - 10:24:39 | batch update finished 
[SYS] 2024/03/27 - 10:24:49 | batch update started 
[SYS] 2024/03/27 - 10:24:49 | batch update finished 
[SYS] 2024/03/27 - 10:24:59 | batch update started 
[SYS] 2024/03/27 - 10:24:59 | batch update finished 
[SYS] 2024/03/27 - 10:25:09 | batch update started 
[SYS] 2024/03/27 - 10:25:09 | batch update finished 
[SYS] 2024/03/27 - 10:25:19 | batch update started 
[SYS] 2024/03/27 - 10:25:19 | batch update finished 
[SYS] 2024/03/27 - 10:25:29 | batch update started 
[SYS] 2024/03/27 - 10:25:29 | batch update finished 
[SYS] 2024/03/27 - 10:25:39 | batch update started 
[SYS] 2024/03/27 - 10:25:39 | batch update finished 
[SYS] 2024/03/27 - 10:25:49 | batch update started 
[SYS] 2024/03/27 - 10:25:49 | batch update finished 
[SYS] 2024/03/27 - 10:25:59 | batch update started 
[SYS] 2024/03/27 - 10:25:59 | batch update finished 
[SYS] 2024/03/27 - 10:26:09 | batch update started 
[SYS] 2024/03/27 - 10:26:09 | batch update finished 
[SYS] 2024/03/27 - 10:26:19 | batch update started 
[SYS] 2024/03/27 - 10:26:19 | batch update finished 
[SYS] 2024/03/27 - 10:26:29 | batch update started 
[SYS] 2024/03/27 - 10:26:29 | batch update finished 
[SYS] 2024/03/27 - 10:26:39 | batch update started 
[SYS] 2024/03/27 - 10:26:39 | batch update finished 
[SYS] 2024/03/27 - 10:26:49 | batch update started 
[SYS] 2024/03/27 - 10:26:49 | batch update finished 
[SYS] 2024/03/27 - 10:26:59 | batch update started 
[SYS] 2024/03/27 - 10:26:59 | batch update finished 
[SYS] 2024/03/27 - 10:27:09 | batch update started 
[SYS] 2024/03/27 - 10:27:09 | batch update finished 
[SYS] 2024/03/27 - 10:27:19 | batch update started 
[SYS] 2024/03/27 - 10:27:19 | batch update finished 
[SYS] 2024/03/27 - 10:27:29 | batch update started 
[SYS] 2024/03/27 - 10:27:29 | batch update finished 
[SYS] 2024/03/27 - 10:27:40 | batch update started 
[SYS] 2024/03/27 - 10:27:40 | batch update finished 
[SYS] 2024/03/27 - 10:27:50 | batch update started 
[SYS] 2024/03/27 - 10:27:50 | batch update finished 
[SYS] 2024/03/27 - 10:28:00 | batch update started 
[SYS] 2024/03/27 - 10:28:00 | batch update finished 
[SYS] 2024/03/27 - 10:28:10 | batch update started 
[SYS] 2024/03/27 - 10:28:10 | batch update finished 
[SYS] 2024/03/27 - 10:28:20 | batch update started 
[SYS] 2024/03/27 - 10:28:20 | batch update finished 
[SYS] 2024/03/27 - 10:28:30 | batch update started 
[SYS] 2024/03/27 - 10:28:30 | batch update finished 
[SYS] 2024/03/27 - 10:28:40 | batch update started 
[SYS] 2024/03/27 - 10:28:40 | batch update finished 
[SYS] 2024/03/27 - 10:28:50 | batch update started 
[SYS] 2024/03/27 - 10:28:50 | batch update finished 
[SYS] 2024/03/27 - 10:29:00 | batch update started 
[SYS] 2024/03/27 - 10:29:00 | batch update finished 
[SYS] 2024/03/27 - 10:29:10 | batch update started 
[SYS] 2024/03/27 - 10:29:10 | batch update finished 
[SYS] 2024/03/27 - 10:29:14 | syncing channels from database 
[SYS] 2024/03/27 - 10:29:14 | syncing options from database 
[SYS] 2024/03/27 - 10:29:14 | channels synced from database 
[SYS] 2024/03/27 - 10:29:20 | batch update started 
[SYS] 2024/03/27 - 10:29:20 | batch update finished 
[SYS] 2024/03/27 - 10:29:30 | batch update started 
[SYS] 2024/03/27 - 10:29:30 | batch update finished 
[SYS] 2024/03/27 - 10:29:40 | batch update started 
[SYS] 2024/03/27 - 10:29:40 | batch update finished 
[SYS] 2024/03/27 - 10:29:50 | batch update started 
[SYS] 2024/03/27 - 10:29:50 | batch update finished 
[SYS] 2024/03/27 - 10:30:00 | batch update started 
[SYS] 2024/03/27 - 10:30:00 | batch update finished 
[SYS] 2024/03/27 - 10:30:10 | batch update started 
[SYS] 2024/03/27 - 10:30:10 | batch update finished 
[SYS] 2024/03/27 - 10:30:20 | batch update started 
[SYS] 2024/03/27 - 10:30:20 | batch update finished 
[SYS] 2024/03/27 - 10:30:30 | batch update started 
[SYS] 2024/03/27 - 10:30:30 | batch update finished 
[SYS] 2024/03/27 - 10:30:40 | batch update started 
[SYS] 2024/03/27 - 10:30:40 | batch update finished 
[SYS] 2024/03/27 - 10:30:50 | batch update started 
[SYS] 2024/03/27 - 10:30:50 | batch update finished 
[SYS] 2024/03/27 - 10:31:00 | batch update started 
[SYS] 2024/03/27 - 10:31:00 | batch update finished 
[SYS] 2024/03/27 - 10:31:10 | batch update started 
[SYS] 2024/03/27 - 10:31:10 | batch update finished 
[SYS] 2024/03/27 - 10:31:20 | batch update started 
[SYS] 2024/03/27 - 10:31:20 | batch update finished 
[SYS] 2024/03/27 - 10:31:30 | batch update started 
[SYS] 2024/03/27 - 10:31:30 | batch update finished 
[SYS] 2024/03/27 - 10:31:40 | batch update started 
[SYS] 2024/03/27 - 10:31:40 | batch update finished 
[SYS] 2024/03/27 - 10:31:50 | batch update started 
[SYS] 2024/03/27 - 10:31:50 | batch update finished 
[SYS] 2024/03/27 - 10:32:00 | batch update started 
[SYS] 2024/03/27 - 10:32:00 | batch update finished 
[SYS] 2024/03/27 - 10:32:10 | batch update started 
[SYS] 2024/03/27 - 10:32:10 | batch update finished 
[SYS] 2024/03/27 - 10:32:20 | batch update started 
[SYS] 2024/03/27 - 10:32:20 | batch update finished 
[SYS] 2024/03/27 - 10:32:30 | batch update started 
[SYS] 2024/03/27 - 10:32:30 | batch update finished 
[SYS] 2024/03/27 - 10:32:40 | batch update started 
[SYS] 2024/03/27 - 10:32:40 | batch update finished 
[SYS] 2024/03/27 - 10:32:50 | batch update started 
[SYS] 2024/03/27 - 10:32:50 | batch update finished 
[SYS] 2024/03/27 - 10:33:00 | batch update started 
[SYS] 2024/03/27 - 10:33:00 | batch update finished 
[SYS] 2024/03/27 - 10:33:10 | batch update started 
[SYS] 2024/03/27 - 10:33:10 | batch update finished 
[SYS] 2024/03/27 - 10:33:20 | batch update started 
[SYS] 2024/03/27 - 10:33:20 | batch update finished 
[SYS] 2024/03/27 - 10:33:30 | batch update started 
[SYS] 2024/03/27 - 10:33:30 | batch update finished 
[SYS] 2024/03/27 - 10:33:40 | batch update started 
[SYS] 2024/03/27 - 10:33:40 | batch update finished 
[SYS] 2024/03/27 - 10:33:50 | batch update started 
[SYS] 2024/03/27 - 10:33:50 | batch update finished 
[SYS] 2024/03/27 - 10:34:00 | batch update started 
[SYS] 2024/03/27 - 10:34:00 | batch update finished 
[SYS] 2024/03/27 - 10:34:10 | batch update started 
[SYS] 2024/03/27 - 10:34:10 | batch update finished 
[SYS] 2024/03/27 - 10:34:20 | batch update started 
[SYS] 2024/03/27 - 10:34:20 | batch update finished 
[SYS] 2024/03/27 - 10:34:30 | batch update started 
[SYS] 2024/03/27 - 10:34:30 | batch update finished 
[SYS] 2024/03/27 - 10:34:40 | batch update started 
[SYS] 2024/03/27 - 10:34:40 | batch update finished 
[SYS] 2024/03/27 - 10:34:50 | batch update started 
[SYS] 2024/03/27 - 10:34:50 | batch update finished 
[SYS] 2024/03/27 - 10:35:00 | batch update started 
[SYS] 2024/03/27 - 10:35:00 | batch update finished 
[SYS] 2024/03/27 - 10:35:10 | batch update started 
[SYS] 2024/03/27 - 10:35:10 | batch update finished 
[SYS] 2024/03/27 - 10:35:20 | batch update started 
[SYS] 2024/03/27 - 10:35:20 | batch update finished 
[SYS] 2024/03/27 - 10:35:30 | batch update started 
[SYS] 2024/03/27 - 10:35:30 | batch update finished 
[SYS] 2024/03/27 - 10:35:40 | batch update started 
[SYS] 2024/03/27 - 10:35:40 | batch update finished 
[SYS] 2024/03/27 - 10:35:50 | batch update started 
[SYS] 2024/03/27 - 10:35:50 | batch update finished 
[SYS] 2024/03/27 - 10:36:00 | batch update started 
[SYS] 2024/03/27 - 10:36:00 | batch update finished 
[SYS] 2024/03/27 - 10:36:10 | batch update started 
[SYS] 2024/03/27 - 10:36:10 | batch update finished 
[SYS] 2024/03/27 - 10:36:20 | batch update started 
[SYS] 2024/03/27 - 10:36:20 | batch update finished 
[SYS] 2024/03/27 - 10:36:30 | batch update started 
[SYS] 2024/03/27 - 10:36:30 | batch update finished 
[SYS] 2024/03/27 - 10:36:40 | batch update started 
[SYS] 2024/03/27 - 10:36:40 | batch update finished 
[SYS] 2024/03/27 - 10:36:50 | batch update started 
[SYS] 2024/03/27 - 10:36:50 | batch update finished 
[SYS] 2024/03/27 - 10:37:00 | batch update started 
[SYS] 2024/03/27 - 10:37:00 | batch update finished 
[SYS] 2024/03/27 - 10:37:10 | batch update started 
[SYS] 2024/03/27 - 10:37:10 | batch update finished 
[SYS] 2024/03/27 - 10:37:20 | batch update started 
[SYS] 2024/03/27 - 10:37:20 | batch update finished 
[SYS] 2024/03/27 - 10:37:30 | batch update started 
[SYS] 2024/03/27 - 10:37:30 | batch update finished 
[SYS] 2024/03/27 - 10:37:40 | batch update started 
[SYS] 2024/03/27 - 10:37:40 | batch update finished 
[SYS] 2024/03/27 - 10:37:50 | batch update started 
[SYS] 2024/03/27 - 10:37:50 | batch update finished 
[SYS] 2024/03/27 - 10:38:00 | batch update started 
[SYS] 2024/03/27 - 10:38:00 | batch update finished 
[SYS] 2024/03/27 - 10:38:10 | batch update started 
[SYS] 2024/03/27 - 10:38:10 | batch update finished 
[SYS] 2024/03/27 - 10:38:20 | batch update started 
[SYS] 2024/03/27 - 10:38:20 | batch update finished 
[SYS] 2024/03/27 - 10:38:30 | batch update started 
[SYS] 2024/03/27 - 10:38:30 | batch update finished 
[SYS] 2024/03/27 - 10:38:40 | batch update started 
[SYS] 2024/03/27 - 10:38:40 | batch update finished 
[SYS] 2024/03/27 - 10:38:50 | batch update started 
[SYS] 2024/03/27 - 10:38:50 | batch update finished 
[SYS] 2024/03/27 - 10:39:00 | batch update started 
[SYS] 2024/03/27 - 10:39:00 | batch update finished 
[SYS] 2024/03/27 - 10:39:10 | batch update started 
[SYS] 2024/03/27 - 10:39:10 | batch update finished 
[SYS] 2024/03/27 - 10:39:14 | syncing options from database 
[SYS] 2024/03/27 - 10:39:14 | syncing channels from database 
[SYS] 2024/03/27 - 10:39:14 | channels synced from database 
[SYS] 2024/03/27 - 10:39:20 | batch update started 
[SYS] 2024/03/27 - 10:39:20 | batch update finished 
[SYS] 2024/03/27 - 10:39:30 | batch update started 
[SYS] 2024/03/27 - 10:39:30 | batch update finished 
[SYS] 2024/03/27 - 10:39:40 | batch update started 
[SYS] 2024/03/27 - 10:39:40 | batch update finished 
[SYS] 2024/03/27 - 10:39:50 | batch update started 
[SYS] 2024/03/27 - 10:39:50 | batch update finished 
[SYS] 2024/03/27 - 10:40:00 | batch update started 
[SYS] 2024/03/27 - 10:40:00 | batch update finished 
[SYS] 2024/03/27 - 10:40:10 | batch update started 
[SYS] 2024/03/27 - 10:40:10 | batch update finished 
[SYS] 2024/03/27 - 10:40:20 | batch update started 
[SYS] 2024/03/27 - 10:40:20 | batch update finished 
[SYS] 2024/03/27 - 10:40:30 | batch update started 
[SYS] 2024/03/27 - 10:40:30 | batch update finished 
[SYS] 2024/03/27 - 10:40:40 | batch update started 
[SYS] 2024/03/27 - 10:40:40 | batch update finished 
[SYS] 2024/03/27 - 10:40:50 | batch update started 
[SYS] 2024/03/27 - 10:40:50 | batch update finished 
[SYS] 2024/03/27 - 10:41:00 | batch update started 
[SYS] 2024/03/27 - 10:41:00 | batch update finished 
[SYS] 2024/03/27 - 10:41:10 | batch update started 
[SYS] 2024/03/27 - 10:41:10 | batch update finished 
[SYS] 2024/03/27 - 10:41:20 | batch update started 
[SYS] 2024/03/27 - 10:41:20 | batch update finished 
[SYS] 2024/03/27 - 10:41:30 | batch update started 
[SYS] 2024/03/27 - 10:41:30 | batch update finished 
[SYS] 2024/03/27 - 10:41:40 | batch update started 
[SYS] 2024/03/27 - 10:41:40 | batch update finished 
[SYS] 2024/03/27 - 10:41:50 | batch update started 
[SYS] 2024/03/27 - 10:41:50 | batch update finished 
[SYS] 2024/03/27 - 10:42:00 | batch update started 
[SYS] 2024/03/27 - 10:42:00 | batch update finished 
[SYS] 2024/03/27 - 10:42:10 | batch update started 
[SYS] 2024/03/27 - 10:42:10 | batch update finished 
[SYS] 2024/03/27 - 10:42:20 | batch update started 
[SYS] 2024/03/27 - 10:42:20 | batch update finished 
[SYS] 2024/03/27 - 10:42:30 | batch update started 
[SYS] 2024/03/27 - 10:42:30 | batch update finished 
[SYS] 2024/03/27 - 10:42:40 | batch update started 
[SYS] 2024/03/27 - 10:42:40 | batch update finished 
[SYS] 2024/03/27 - 10:42:50 | batch update started 
[SYS] 2024/03/27 - 10:42:50 | batch update finished 
[SYS] 2024/03/27 - 10:43:00 | batch update started 
[SYS] 2024/03/27 - 10:43:00 | batch update finished 
[SYS] 2024/03/27 - 10:43:10 | batch update started 
[SYS] 2024/03/27 - 10:43:10 | batch update finished 
[SYS] 2024/03/27 - 10:43:20 | batch update started 
[SYS] 2024/03/27 - 10:43:20 | batch update finished 
[SYS] 2024/03/27 - 10:43:30 | batch update started 
[SYS] 2024/03/27 - 10:43:30 | batch update finished 
[SYS] 2024/03/27 - 10:43:40 | batch update started 
[SYS] 2024/03/27 - 10:43:40 | batch update finished 
[SYS] 2024/03/27 - 10:43:50 | batch update started 
[SYS] 2024/03/27 - 10:43:50 | batch update finished 
[SYS] 2024/03/27 - 10:44:00 | batch update started 
[SYS] 2024/03/27 - 10:44:00 | batch update finished 
[SYS] 2024/03/27 - 10:44:10 | batch update started 
[SYS] 2024/03/27 - 10:44:10 | batch update finished 
